,name,start,stop,length,orientation,sRNA_type,location,targeted gene(s),gene function(s),COG,Source,Northern_validated
0,ncRNA1,532214,532307,94,0,sRNA, PPE10 :Rv0443,,,,PARA_H2O2_sRNA,0
1,ncRNA2,668394,668453,60,0,sRNA, Rv0574c : Rv0575,,,,PARA_H2O2_sRNA,0
2,ncRNA3,731084,731178,95,0,sRNA, Rv0634A ,Rv0634A,hypothetical protein,Transcription,PARA_H2O2_sRNA,0
3,ncRNA4,842220,842313,94,0,sRNA, Rv0750:mmsB,,,,PARA_H2O2_sRNA,0
4,ncRNA5,852615,852669,55,0,5' UTR, phoR ,,,,PARA_H2O2_sRNA,0
5,ncRNA6,936717,936771,55,1,3' UTR, pip ,,,,PARA_H2O2_sRNA,0
6,ncRNA7,1965370,1965428,59,0,sRNA, narK2:Rv1738,,,,PARA_H2O2_sRNA,0
7,ncRNA8,2338033,2338130,98,1,sRNA, Rv2081c ,,,,PARA_H2O2_sRNA,0
8,ncRNA9,2390037,2390130,94,0,5' UTR, ansP1 ,Rv2128,conserved membrane protein,not categorized in any COG,PARA_H2O2_sRNA,0
9,ncRNA10,2473242,2473389,148,0,sRNA, cobS:Rv2209,Rv2209,conserved membrane protein,not categorized in any COG,PARA_H2O2_sRNA,0
10,ncRNA11,2655468,2655577,110,0,5' UTR, Rv2375 ,,,,PARA_H2O2_sRNA,0
11,ncRNA12,3194151,3194235,85,1,sRNA, Rv2885c ,"Rv2977c, Rv2790c",thiamine-monophosphate kinase|lipid-transfer protein,Coenzyme transport and metabolism|Lipid transport and metabolism,PARA_H2O2_sRNA,0
12,ncRNA13,3724434,3724616,183,1,5' UTR, icd1 ,Rv2277c,glycerolphosphodiesterase,Energy production and conversion,PARA_H2O2_sRNA,0
13,ncRNA14,3809299,3809384,86,0,sRNA, iunH ,,,,PARA_H2O2_sRNA,0
14,ncRNA15,4017087,4017155,69,1,sRNA, Rv3575c ,,,,PARA_H2O2_sRNA,0
15,ncRNA16,4286825,4286875,51,0,sRNA, Rv3822 ,,,,PARA_H2O2_sRNA,0
16,ncRNA17,332785,332835,51,1,sRNA, vapC25 ,,,,H2O2,0
17,ncRNA18,1171133,1171218,86,1,sRNA, Rv1048c ,,,,H2O2,0
18,ncRNA19,1394951,1395002,52,0,sRNA, Rv1250 ,,,,H2O2,0
19,ncRNA20,1564266,1564374,109,1,3' UTR, mihF ,Rv3774,enoyl-CoA hydratase,Lipid transport and metabolism,H2O2,0
20,ncRNA21,1677906,1677974,69,0,sRNA, Rv1488 ,,,,H2O2,0
21,ncRNA22,1718030,1718088,59,0,5' UTR, Rv1523 ,,,,H2O2,0
22,ncRNA23,2124802,2124868,67,0,sRNA, Rv1875 ,,,,H2O2,0
23,ncRNA24,2179329,2179387,59,1,sRNA, mpt63 ,Rv1926c,immunogenic protein,not categorized in any COG ,H2O2,0
24,ncRNA25,2338031,2338147,117,1,sRNA, Rv2081c ,,,,H2O2,0
25,ncRNA26,2359679,2359771,93,0,sRNA, Rv2100 ,,,,H2O2,0
