,end,name,source,start,strand,keep,tier,duplicates
0,1943,candidate_892,Miotto13,1902,0,1,2,0
1,1954,candidate_663,Miotto13,1920,1,1,2,0
2,2305,candidate_893,Miotto13,2213,0,1,2,0
3,3057,candidate_894,Miotto13,2979,0,1,2,0
4,5287,candidate_895,Miotto13,5179,0,1,2,0
5,6277,candidate_896,Miotto13,6228,0,1,2,0
6,7102,candidate_897,Miotto13,7061,0,1,2,0
7,7255,candidate_898,Miotto13,7201,0,1,2,0
8,8247,candidate_899,Miotto13,8055,0,1,2,0
9,13643,candidate_1723,Miotto13,13591,0,1,2,0
10,13645,candidate_664,Miotto13,13593,1,1,2,0
11,15311,ncRNA47,Namouchi16,15237,0,1,2,0
12,23822,candidate_1724,Miotto13,23792,0,1,2,0
13,23824,candidate_665,Miotto13,23794,1,1,2,0
14,23998,candidate_1,Miotto13,23850,1,1,2,0
15,24157,candidate_2,Miotto13,24046,1,1,2,0
16,24787,candidate_3,Miotto13,24672,1,1,2,0
17,25274,candidate_4,Miotto13,24867,1,1,2,0
18,25479,candidate_1670,Miotto13,25449,0,1,2,0
19,25728,candidate_900,Miotto13,25623,0,1,2,0
20,25816,candidate_901,Miotto13,25779,0,1,2,0
21,30183,ncRNA48,Namouchi16,30107,0,1,2,0
22,31967,candidate_1671,Miotto13,31926,0,1,2,0
23,33045,ncRNA49,Namouchi16,32988,0,1,2,0
24,39371,ncRNA50,Namouchi16,39302,1,1,2,0
25,41903,ncRNA51,Namouchi16,41839,0,1,2,0
26,44092,candidate_902,Miotto13,44050,0,1,2,0
27,45647,ncRNA52,Namouchi16,45592,0,1,2,0
28,51056,candidate_5,Miotto13,50563,1,1,2,0
29,51192,candidate_6,Miotto13,51104,1,1,2,0
30,51185,candidate_903,Miotto13,51124,0,1,2,0
31,51457,candidate_7,Miotto13,51419,1,1,2,0
32,51743,candidate_8,Miotto13,51664,1,1,2,0
33,51759,candidate_904,Miotto13,51727,0,1,2,0
34,52108,candidate_9,Miotto13,51988,1,1,2,0
35,58144,candidate_1725,Miotto13,58103,0,1,2,0
36,58146,candidate_666,Miotto13,58105,1,1,2,0
37,58220,candidate_905,Miotto13,58145,0,1,2,0
38,58191,candidate_602,Miotto13,58147,1,1,2,0
39,59410,candidate_906,Miotto13,59359,0,1,2,0
40,65185,candidate_907,Miotto13,65119,0,1,2,0
41,65389,candidate_908,Miotto13,65234,0,1,2,0
42,74261,candidate_10,Miotto13,74231,1,1,2,0
43,79178,candidate_1672,Miotto13,79142,0,1,2,0
44,79173,candidate_603,Miotto13,79143,1,1,2,0
45,80415,candidate_11,Miotto13,80382,1,1,2,0
46,81732,candidate_909,Miotto13,81688,0,1,2,0
47,82353,candidate_910,Miotto13,82249,0,1,2,0
48,85276,candidate_12,Miotto13,85206,1,1,2,0
49,87819,candidate_13,Miotto13,87687,1,1,2,0
50,88008,candidate_911,Miotto13,87848,0,1,2,0
51,88008,candidate_14,Miotto13,87932,1,1,2,0
