,Candidate ID,Start,End,Strand,Type,Length,mean reads coverage,mean conservation,-10 promoter consensus,Terminator,MFE p-val,Array p-val,p-adj,Relative position to CDSs,Within,Antisense to,DistClosestGeneUP,DistClosestGeneDOWN,Northern_validation
0,candidate_1,23850,23998,1,A,148,202.685,0.01,1,0,0.112,1.17E-02,1.00E+00,AS to 5'/3' UTRs,,"3', Rv0020c",-1594,-137,0
1,candidate_2,24046,24157,1,A,111,171.991,0,0,0,0.516,2.44E-02,1.00E+00,AS,,Rv0020c,-1398,-296,0
2,candidate_3,24672,24787,1,A,115,520.353,0,1,0,0.28,2.40E-14,3.10E-11,AS,,Rv0020c,-772,-926,0
3,candidate_4,24867,25274,1,A,407,443.581,0,0,1,0.903,4.80E-04,2.59E-01,AS,,Rv0020c,-577,-1413,0
4,candidate_5,50563,51056,1,A,493,1091.688,0,1,0,0.265,0.00E+00,0.00E+00,AS,,Rv0046c,-561,-1035,0
5,candidate_6,51104,51192,1,A,88,414.124,0.443,0,1,0.701,8.41E-11,1.05E-07,AS to 5'/3' UTRs,,"3', Rv0047c; 5', Rv0046c",-623,-1171,0
6,candidate_7,51419,51457,1,A,38,76.205,0,0,0,0.504,9.98E-01,1.00E+00,AS,,Rv0047c,-308,-272,0
7,candidate_8,51664,51743,1,A,79,260.65,0.026,0,0,0.2,9.99E-01,1.00E+00,AS to 5'/3' UTRs,,"5', Rv0047c",-63,-558,0
8,candidate_9,51988,52108,1,A,120,195.901,0,0,0,0.993,1.60E-02,1.00E+00,AS,,Rv0048c,-709,-280,0
9,candidate_10,74231,74261,1,A,30,117.355,0,0,0,0.62,3.81E-02,1.00E+00,AS,,Rv0066c,-280,-1987,0
10,candidate_11,80382,80415,1,A,33,726.824,0.114,0,0,1,9.20E-01,1.00E+00,Intergenic,,,189,209,0
11,candidate_12,85206,85276,1,A,70,182.915,0,1,0,0.997,3.11E-09,3.79E-06,AS,,Rv0076c,-366,-93,0
12,candidate_13,87687,87819,1,A,132,308.857,0.006,0,0,0.21,9.89E-01,1.00E+00,AS to 5'/3' UTRs,,"5', Rv0078A",-114,-611,0
13,candidate_14,87932,88008,1,A,76,468.364,0.048,0,0,0.376,9.96E-01,1.00E+00,Intergenic,,,131,196,0
14,candidate_15,88167,88204,1,A,37,93.895,0.134,0,0,0.203,1.32E-14,1.71E-11,Within 5'/3' UTRs,"5', Rv0079",,366,0,0
15,candidate_16,151110,151140,1,A,30,271.581,0.138,1,1,0.606,8.41E-01,1.00E+00,Within 5'/3' UTRs,"5', Rv0125",,114,8,0
16,candidate_17,167440,167481,1,A,41,104.5,0,1,0,0.787,9.08E-01,1.00E+00,AS,,Rv0141c,-241,-210,0
17,candidate_18,167558,167658,1,A,100,551.733,0,0,0,0.105,5.23E-01,1.00E+00,AS,,Rv0141c,-123,-387,0
18,candidate_19,196712,196773,1,A,61,271.968,1.78,1,0,0.108,6.82E-01,1.00E+00,Within 5'/3' UTRs,"3', Rv0166",,55,88,0
19,candidate_20,210073,210123,1,A,50,181.373,0,0,0,0.858,5.65E-01,1.00E+00,AS,,Rv0179c,-739,-420,0
20,candidate_21,211325,211485,1,A,160,286.019,0,1,0,0.854,1.31E-03,1.00E+00,AS,,Rv0180c,-925,-593,0
21,candidate_22,218357,218409,1,A,52,95.868,0.125,0,0,0.12,9.88E-01,1.00E+00,AS to 5'/3' UTRs,"3', Rv0186","3', Rv4014",13,296,0
22,candidate_23,219429,219486,1,A,57,165.259,0.136,1,0,0.237,2.27E-01,1.00E+00,Within 5'/3' UTRs,"3', Rv0187; 5', Rv0188",,62,0,0
23,candidate_24,219917,220058,1,A,141,662.085,0.075,0,0,0.017,2.01E-06,2.33E-03,AS to 5'/3' UTRs,"3', Rv0188","3', Rv0189c",-1806,-62,0
24,candidate_25,235121,235170,1,A,49,237.42,0,1,0,1,7.05E-01,1.00E+00,AS,,Rv0198c,-1386,-654,0
25,candidate_26,246987,247057,1,A,70,154.732,0,0,0,0.518,9.65E-01,1.00E+00,AS,,Rv0206c,-331,-2573,0
26,candidate_27,247283,247542,1,A,259,1124.7,0.256,1,0,0.825,3.72E-07,4.38E-04,AS to 5'/3' UTRs,,"3', Rv0207c; 5', Rv0206c",-829,-3058,0
27,candidate_28,266736,266769,1,A,33,144.794,0,1,0,0.123,9.99E-01,1.00E+00,AS,,Rv0223c,-1028,-468,0
28,candidate_29,293604,293662,1,A,58,616.322,1.906,0,0,0.001,2.90E-01,1.00E+00,Intergenic,,,111,136,0
29,candidate_30,298918,299099,1,A,181,626.626,0,1,0,0.5,8.89E-04,9.45E-01,AS,,Rv0248c,-1885,-236,0
30,candidate_31,299164,299201,1,A,37,64.421,0,0,0,0.823,9.92E-01,1.00E+00,AS,,Rv0248c,-1639,-338,0
31,candidate_32,299263,299293,1,A,30,67.226,0,1,0,0.376,1.00E+00,1.00E+00,AS,,Rv0248c,-1540,-430,0
32,candidate_33,299960,300094,1,A,134,547.807,0,0,0,0.885,3.61E-01,1.00E+00,AS,,Rv0248c,-843,-1231,0
33,candidate_34,301424,301613,1,A,189,476.868,0,0,0,0.268,8.71E-01,1.00E+00,AS,,Rv0249c,-231,-779,0
34,candidate_35,307966,308037,1,A,71,240.861,0,1,0,0.084,2.59E-05,2.91E-02,AS,,Rv0256c,-1581,-160,0
35,candidate_36,308772,308816,1,A,44,219.533,0,1,0,0.105,1.39E-01,1.00E+00,AS,,Rv0256c,-775,-939,0
36,candidate_37,308938,309021,1,A,83,154.464,0,1,0,0.299,8.64E-06,9.82E-03,AS,,Rv0256c,-609,-1144,0
37,candidate_38,322998,323104,1,A,106,212.692,0,1,0,0.693,1.00E+00,1.00E+00,AS,,Rv0268c,-275,-340,0
38,candidate_39,323215,323282,1,A,67,219.809,0.016,0,0,0.499,2.02E-01,1.00E+00,AS to 5'/3' UTRs,,"5', Rv0268c",-58,-518,0
39,candidate_40,329127,329161,1,A,34,131.743,0,1,0,0.343,9.38E-01,1.00E+00,AS,,Rv0272c,-581,-586,0
