,name,end,start,strand,source
0,Rv0001,1524,1,1,Refseq
1,Rv0002,3260,2052,1,Refseq
2,Rv0003,4437,3280,1,Refseq
3,Rv0004,4997,4434,1,Refseq
4,Rv0005,7267,5123,1,Refseq
5,Rv0006,9818,7302,1,Refseq
6,Rv0007,10828,9914,1,Refseq
7,Rv0008c,12311,11874,0,Refseq
8,Rv0009,13016,12468,1,Refseq
9,Rv0010c,13558,13133,0,Refseq
10,Rv0011c,13995,13714,0,Refseq
11,Rv0012,14877,14089,1,Refseq
12,Rv0013,15612,14914,1,Refseq
13,Rv0014c,17470,15590,0,Refseq
14,Rv0015c,18762,17467,0,Refseq
15,Rv0016c,20234,18759,0,Refseq
16,Rv0017c,21640,20231,0,Refseq
17,Rv0018c,23181,21637,0,Refseq
18,Rv0019c,23737,23270,0,Refseq
19,Rv0020c,25444,23861,0,Refseq
20,Rv0021c,26881,25913,0,Refseq
21,Rv0022c,27442,27023,0,Refseq
22,Rv0023,28365,27595,1,Refseq
23,Rv0024,29207,28362,1,Refseq
24,Rv0025,29607,29245,1,Refseq
25,Rv0026,31068,29722,1,Refseq
26,Rv0027,31506,31189,1,Refseq
27,Rv0028,31819,31514,1,Refseq
28,Rv0029,33154,32057,1,Refseq
29,Rv0030,33553,33224,1,Refseq
30,Rv0031,33794,33582,1,Refseq
31,Rv0032,36610,34295,1,Refseq
32,Rv0033,36870,36607,1,Refseq
33,Rv0034,37262,36867,1,Refseq
34,Rv0035,38947,37259,1,Refseq
35,Rv0036c,39829,39056,0,Refseq
36,Rv0037c,41202,39877,0,Refseq
37,Rv0038,41912,41304,1,Refseq
38,Rv0039c,42351,42004,0,Refseq
39,Rv0040c,43365,42433,0,Refseq
40,Rv0041,46471,43562,1,Refseq
41,Rv0042c,47207,46581,0,Refseq
42,Rv0043c,48100,47366,0,Refseq
43,Rv0044c,49027,48233,0,Refseq
44,Rv0045c,49939,49043,0,Refseq
45,Rv0046c,51124,50021,0,Refseq
46,Rv0047c,51727,51185,0,Refseq
47,Rv0048c,52697,51828,0,Refseq
48,Rv0049,53244,52831,1,Refseq
49,Rv0050,55699,53663,1,Refseq
