,Name,Start,End,Strand,Type,TB_validated
0,Mcr1,2028973,2029427,0,IGR,0
1,Mcr2,1108810,1109163,1,UTR,0
2,Mcr3,1498091,1498360,1,5_UTR,1
3,Mcr4,2136842,2137233,0,5_UTR,0
4,Mcr5,2415977,2416417,0,CDS,1
5,Mcr6,4141696,4141913,0,sRNA,1
6,Mcr7,2657152,2657876,1,3_UTR,1
7,Mcr8,4073623,4074378,1,3_UTR,1
8,Mcr9,3317473,3317835,0,5_UTR,1
9,Mcr10,1314472,1315515,1,CDS,0
10,Mcr11,1439801,1439974,0,UTR,0
11,Mcr12,1228414,1228530,1,3_UTR,0
12,Mcr13,4315180,4315219,0,CDS,0
13,Mcr14,321523,321829,1,3_UTR,1
14,Mcr15,1561906,1562197,0,UTR,1
15,Mcr16,2495432,2496340,0,CDS,1
16,Mcr17,2905055,2905642,1,CDS,0
17,Mcr18,3465675,3466385,0,CDS,0
18,Mcr19,604743,606059,1,CDS,1
19,Mpr1,2813128,2813648,1,IGR,0
20,Mpr2,3505334,3505565,1,5_UTR,0
21,Mpr3,935509,935656,1,UTR,0
22,Mpr4,4073623,4074378,1,IGR,1
23,Mpr5,1205186,1206209,1,IGR,1
24,Mpr6,1394906,1395064,1,UTR,1
25,Mpr7,1498091,1498360,1,5_UTR,1
26,Mpr8,1857282,1857519,1,5_UTR,0
27,Mpr9,2109671,2110123,1,IGR,0
28,Mpr10,2300737,2300821,1,UTR,0
29,Mpr11,2845503,2845860,1,3_UTR,1
30,Mpr12,2846597,2846740,1,5_UTR,1
31,Mpr13,321523,321829,1,3_UTR,1
32,Mpr14,3317473,3317835,0,5_UTR,0
33,Mpr15,3506235,3506773,0,IGR,1
34,Mpr16,3731024,3731280,1,UTR,0
35,Mpr17,4019618,4019895,1,3_UTR,1
36,Mpr18,4065899,4066653,1,5_UTR,1
37,Mpr19,4072260,4072760,0,IGR,1
38,Mpr20,779354,779685,1,3_UTR,0
39,Mpr21,818355,818508,1,IGR,0
