,tuberculist_ID,name,type,start,end,strand
0,MTB000051,F6,ncRNA,293604,293705,1
1,MTB000052,B55,ncRNA,704187,704247,1
2,MTB000053,ASdes,ncRNA,918264,918458,1
3,MTB000054,G2,ncRNA,1914962,1915190,0
4,MTB000055,AS1726,ncRNA,1952291,1952503,0
5,MTB000056,AS1890,ncRNA,2139419,2139656,1
6,MTB000057,ASpks,ncRNA,2299745,2299886,1
7,MTB000058,B11,ncRNA,4099386,4099478,0
8,MTB000059,C8,ncRNA,4168154,4168281,0
9,MTB000060,mcr19,ncRNA,575033,575069,1
10,MTB000061,mpr5,ncRNA,1175225,1175315,1
11,MTB000062,mpr6,ncRNA,1365274,1365365,1
12,MTB000063,mcr11,ncRNA,1413094,1413224,0
13,MTB000063,mcr11,-10_signal,1413232,1413237,0
14,MTB000063,mcr11,-35_signal,1413255,1413260,0
15,MTB000064,mcr3,ncRNA,1471619,1471742,1
16,MTB000065,mcr15,ncRNA,1535417,1535716,0
17,MTB000066,mcr5,ncRNA,2437823,2437866,0
18,MTB000067,mcr7,ncRNA,2692172,2692521,1
19,MTB000068,mpr11,ncRNA,2881252,2881320,1
20,MTB000069,mpr12,ncRNA,2882185,2882276,1
21,MTB000070,mpr17,ncRNA,4040879,4040938,1
22,MTB000071,mpr18,ncRNA,4093468,4093522,1
23,MTB000072,mcr10,ncRNA,1283693,1283815,1
24,MTB000073,mcr16,ncRNA,2517032,2517134,0
25,MTB000074,MTS0858,ncRNA,1220388,1220487,0
26,MTB000075,ncrMT1234,ncRNA,1340578,1340625,1
27,MTB000076,MTS1082,ncRNA,1547129,1547268,1
28,MTB000077,MTS1338,ncRNA,1960667,1960783,1
29,MTB000078,MTS2823,ncRNA,4100669,4100968,1
30,MTB000079,ncrMT3949,ncRNA,4314798,4314891,1
31,MTB000080,MTS2975,ncRNA,4317073,4317165,1
